"conversation_id_str","created_at","full_text","user_id_str"
"2004672821193261390","Fri Dec 26 21:57:00 +0000 2025"," Mau performa mesin maksimal tanpa boros bensin? Pelajari dulu panduan campuran etanol &amp; BBM berdasarkan studi dan fakta nyata ️ https://t.co/NlunQUAIfB #PerformaMesin #BBMEtanol #EfisiensiBahanBakar #Otomotif #EcoDriving","1496846304697528323"
"2004197895814500428","Fri Dec 26 21:13:31 +0000 2025","@BiLLRaY2019 @AntoniusCDN siram etanol dulu baru disetrum","1318011337000112129"
"2004657721719881957","Fri Dec 26 20:57:00 +0000 2025","️ Teknologi &amp; inovasi di industri BBM: sebuah panduan lengkap tentang efek pencampuran etanol ke bensin dari torsi hingga konsumsi ada di posting ini https://t.co/NlunQUAIfB #OtomotifNews #BBM #Etanol #PerformaMesin #FuelEconomy","1496846304697528323"
"2004405426289627253","Fri Dec 26 20:24:31 +0000 2025","@susno2g @KangDediMulyadi @Danantara_ri @pertamina @KementerianESDM @KompasTV @tribunnews @Metro_TV Etanol harus ganti logam anti karat","1010967580419358720"
"2004645482728227059","Fri Dec 26 20:08:22 +0000 2025","Cinta bahlil terhadap etanol adalah cinta kimia alias tidak organik","2000230083097976832"
"2004642622074151042","Fri Dec 26 19:57:00 +0000 2025","️ Dengan anggapan hemat BBM &amp; ramah lingkungan etanol sering jadi pilihan. Tapi apa dampaknya ke performa mesin dan konsumsi bensin? Baca di sini ️ https://t.co/NlunQUAaq3 #Sustainability #Etanol #FuelEfficiency #PerformaMesin #Otomotif","1496846304697528323"
"2004627270963523813","Fri Dec 26 18:56:00 +0000 2025"," Fakta penting bagi pemilik mobil: campuran etanol bisa mempengaruhi tenaga mesin &amp; jarak tempuh. Yuk ketahui risikonya sebelum mencoba! https://t.co/NlunQUAaq3 #BBMEtanol #PerformaKendaraan #EcoDriving #MobilIndonesia #Bensin","1496846304697528323"
"2004612171406475373","Fri Dec 26 17:56:00 +0000 2025"," Penasaran apakah bensin + etanol benar-benar efisien? Cek rangkuman kelebihan dan kekurangannya di artikel berikut https://t.co/NlunQUAIfB #Etanol #BBM #PerformaMesin #TipsMobil #Otomotif","1496846304697528323"
"2004597072029171923","Fri Dec 26 16:56:00 +0000 2025"," Data &amp; fakta: Seberapa signifikan campuran etanol terhadap konsumsi bahan bakar? Semua terjawab di blogpost terbaru kami ️ https://t.co/NlunQUAaq3 #DataOtomotif #EtanolCampuran #KonsumsiBBM #FuelEfficiency #CarPerformance","1496846304697528323"
"2004596158984061042","Fri Dec 26 16:52:22 +0000 2025","Tahun depan etanol maen? https://t.co/4jY98w3ALx","1529472830"
"2004587823245205947","Fri Dec 26 16:38:57 +0000 2025","@akeewra Apa ia dik fek kh atau bahlil etanol? Anw agaknya sudah lama my gwe tidak berkunjung ke wangsaf nanti iaa wowkwowk. Baru tau awak cenayang anw. Dd akeewra apa yh. WKWKWK aduh kayaknya terlalu personal dik kamu juga dah tau kah ya kurang lebih intinya gimana. Anw-","1840546690602061824"
